feature,importance
win_pct_diff,0.13897224398014485
home_avg_pts_diff_all,0.07926753854564571
home_total_win_pct,0.06285730053260868
away_avg_pts_diff_all,0.05925690627951716
away_total_win_pct,0.05215482954779025
home_avg_pts_diff_last20,0.0422580138912405
home_avg_pts_diff_last10,0.04188831838216888
away_prev_season_win_pct,0.03870649384773511
home_prev_season_win_pct,0.0351952804419017
away_avg_pts_diff_last10,0.033006167140804836
away_avg_pts_diff_last20,0.030930368992814553
home_avg_pts_diff_last5,0.029794820664471713
home_win_pct_last20,0.024191498204080966
away_avg_pts_diff_last5,0.021490853574288798
away_win_pct_last20,0.019019648876722795
away_win_pct_last10,0.01885947978179913
home_prev_season_games,0.01878053622019385
away_prev_season_games,0.018071472894385317
home_win_pct_last10,0.015192914689269308
away_total_wins,0.013472903333267998
home_total_wins,0.012626502235126522
streak_diff,0.011317212821446123
home_win_pct_last5,0.011164239991014147
home_games_played,0.011160361746847687
away_games_played,0.01082294206177412
home_home_wins_last20,0.009310169650128198
home_games_played_x_last10_exists,0.00923181586228079
away_games_played_x_last10_exists,0.009190901391325517
away_away_wins_last20,0.008618747599894531
home_games_played_x_last20_exists,0.0085596124866583
away_games_played_x_last20_exists,0.00835379387428735
home_away_wins_last20,0.007456195071098863
home_current_streak,0.007343597017864024
away_win_pct_last5,0.007279876467216872
away_current_streak,0.006919209332167647
away_home_wins_last20,0.006293681304347182
away_away_wins_last10,0.006193311790861838
home_home_wins_last10,0.006130760756032021
rest_days_diff,0.005528571965392474
away_rest_days,0.0053242020760332995
away_home_wins_last10,0.0050854710717916
home_away_wins_last10,0.004945227497013977
home_rest_days,0.004383040563702612
away_home_wins_last5,0.003970789736925165
home_home_wins_last5,0.003964819549820226
home_away_wins_last5,0.0036893017076264412
away_away_wins_last5,0.0035089417600868856
away_is_expansion_team,0.0007907804973660736
has_prev_season_data,0.0005713624418944035
home_last5_exists,0.0005461140791585316
home_last20_is_carryover,0.0005232141460753783
home_last10_is_carryover,0.0005199883642851441
home_last10_exists,0.0005106098895511686
away_last5_exists,0.0005030435714732037
is_first_season,0.0004988145749440531
away_last10_exists,0.00046168641091569556
home_last20_exists,0.00042929585062118254
away_last10_is_carryover,0.0004217757881082155
away_last20_is_carryover,0.00041145002832588574
home_last5_is_carryover,0.00039876054320959293
away_last5_is_carryover,0.00039226812758872727
away_last20_exists,0.00036526133190577877
home_is_expansion_team,0.00028161466904323907
is_playoff,0.00025888260555653476
home_win_pct_20,5.0167735997558264e-05
home_away_wins_20,3.415638903241698e-05
home_avg_pts_diff_5,3.192244985723316e-05
home_home_wins_20,2.692112117169201e-05
home_avg_pts_diff_10,2.2573391296051044e-05
home_home_wins_5,2.1700946309422213e-05
home_home_wins_10,1.6886404536681257e-05
home_win_pct_5,1.6504767555490544e-05
home_win_pct_10,1.6383146769906198e-05
away_avg_pts_diff_20,1.564337959398587e-05
home_avg_pts_diff_20,1.531025943562368e-05
home_away_wins_5,1.5270386128191342e-05
away_home_wins_5,1.1579094137047245e-05
away_away_wins_20,1.0793632262962246e-05
away_win_pct_5,9.786575196384269e-06
away_win_pct_20,8.9790665694088e-06
away_win_pct_10,8.912549112168127e-06
away_home_wins_10,8.191914515897384e-06
away_avg_pts_diff_5,7.791157641640014e-06
home_away_wins_10,7.475579235853583e-06
away_home_wins_20,5.743642715390437e-06
away_avg_pts_diff_10,5.174007275331018e-06
away_away_wins_5,4.688654476920334e-06
away_away_wins_10,1.6336195374124798e-06
