Model,Accuracy,AUC,Precision,Recall,F1,Train Samples,Features,Config
gradient_boosting v1,0.645959595959596,0.699556277613077,0.6441586280814576,0.8162064282480761,0.7200479233226837,47182,88,"{'n_estimators': 200, 'max_depth': 5, 'learning_ra..."
xgboost v1,0.6439393939393939,0.6998256703341478,0.6415161176053843,0.8198279764599367,0.7197933227344993,47182,88,"{'n_estimators': 200, 'max_depth': 6, 'learning_ra..."
random_forest v1,0.6378787878787879,0.6944419524612334,0.6752600633197648,0.6758714350384789,0.6755656108597285,47182,88,"{'n_estimators': 200, 'max_depth': 10, 'min_sample..."
